class,accuraccy,precision,recall,f1,support,model
22,98.03921569,1,1,1,51,balanced_wt_ResNet_50.csv
23,98.62068966,0.989619377,0.986206897,0.98791019,290,balanced_wt_ResNet_50.csv
24,100,0.987341772,0.987341772,0.987341772,79,balanced_wt_ResNet_50.csv
25,98.66666667,1,0.986666667,0.993288591,150,balanced_wt_ResNet_50.csv
26,100,1,1,1,40,balanced_wt_ResNet_50.csv
27,100,1,1,1,137,balanced_wt_ResNet_50.csv
28,100,1,1,1,83,balanced_wt_ResNet_50.csv
29,100,1,1,1,222,balanced_wt_ResNet_50.csv
30,100,1,1,1,62,balanced_wt_ResNet_50.csv
31,100,1,1,1,47,balanced_wt_ResNet_50.csv
32,100,1,1,1,399,balanced_wt_ResNet_50.csv
33,100,1,1,1,68,balanced_wt_ResNet_50.csv
34,100,0.992443325,0.997468354,0.994949495,395,balanced_wt_ResNet_50.csv
35,100,1,1,1,79,balanced_wt_ResNet_50.csv
36,100,1,1,1,49,balanced_wt_ResNet_50.csv
37,100,1,1,1,44,balanced_wt_ResNet_50.csv
38,98.92473118,0.983739837,0.975806452,0.979757085,372,balanced_wt_ResNet_50.csv
39,100,1,1,1,88,balanced_wt_ResNet_50.csv
40,99.06832298,0.99376947,0.99068323,0.99222395,322,balanced_wt_ResNet_50.csv
41,98.88888889,0.974452555,0.988888889,0.981617647,270,balanced_wt_ResNet_50.csv
42,99.64285714,0.996428571,0.996428571,0.996428571,280,balanced_wt_ResNet_50.csv
0,100,0.789473684,0.833333333,0.810810811,36,balanced_wt_ResNet_152.csv
1,98.45814978,0.931034483,0.475770925,0.629737609,454,balanced_wt_ResNet_152.csv
2,99.3166287,1,0.854214123,0.921375921,439,balanced_wt_ResNet_152.csv
3,98.11320755,1,0.618867925,0.764568765,265,balanced_wt_ResNet_152.csv
4,100,0.966836735,0.90023753,0.932349323,421,balanced_wt_ResNet_152.csv
5,100,0.948660714,0.983796296,0.965909091,432,balanced_wt_ResNet_152.csv
